TC_ID,Category,Description,Input Summary,Expected Result,Actual Result,Status,Notes
TC-001,Smoke,Normal chat pass-through,Greeting message (no PII / no sensitive keywords),HTTP 200 + Claude response,HTTP 200 + Claude response,PASS,No guardrail triggered
TC-040,PII,Thai national ID 13 digits blocked via LiteLLM,Message containing 13-digit number (national ID),HTTP 500 error BLOCKED + Thai PII warning message,HTTP 500 error BLOCKED + correct message,PASS,Guardrail: thai-pii-detector
TC-041,PII,Direct backend PII endpoint unit test,POST /guardrails/beta/litellm_basic_guardrail_api with national ID,action=BLOCKED,action=BLOCKED,PASS,Backend direct call
TC-070,Classification,Top Secret keywords blocked via LiteLLM,"Message with M&A / acquisition target / top secret keywords",HTTP 500 error BLOCKED + AI Policy Section 4 message,HTTP 500 error BLOCKED + correct message,PASS,Guardrail: data-classifier
TC-071,Classification,Direct backend classifier endpoint unit test,POST /classifier/beta/litellm_basic_guardrail_api with top_secret text,action=BLOCKED,action=BLOCKED,PASS,Backend direct call
TC-100,Cache,Redis cache hit on repeated prompt,Send identical prompt twice,Second call returns same response id (cache hit),Same response id confirmed in both responses,PASS,Redis exact-match cache working
TC-101,BugFix,LiteLLM guardrail action format mismatch,n/a — code bug,"action must be BLOCKED (not BLOCK) per LiteLLM v1.82.6 spec","Fixed: pdpa/router.py + classifier/router.py changed to BLOCKED/ALLOWED",FIXED,Root cause of TC-040 and TC-070 initial failures
TC-042,PII,Thai phone number warn-only (not blocked),Message containing Thai mobile number (08x/09x/06x),action=ALLOWED + pii_detected includes thai_phone,action=ALLOWED + pii_detected=[thai_phone/bank_account],PASS,thai_phone detected; 10-digit mobile also matches bank_account regex (both warn-only — still ALLOWED)
TC-043,PII,Email address warn-only (not blocked),Message containing email address,action=ALLOWED + pii_detected includes email,action=ALLOWED + pii_detected=[email],PASS,Email detected as warn-only; request passed through
TC-072,Classification,Confidential data allowed but flagged,Message with financial figures + period (quarterly revenue),action=ALLOWED + classification=confidential,action=ALLOWED + classification=confidential + reason=confidential_keyword: revenue,PASS,Correct classification; reasons=[confidential_keyword: revenue]
TC-073,Classification,Public short message allowed,Short generic greeting (< 80 chars no keywords),action=ALLOWED + classification=public,action=ALLOWED + classification=public + reason=short_prompt_no_signal,PASS,Correctly classified as public via short_prompt_no_signal heuristic
TC-080,Incidents,Create incident via API (authenticated user),POST /incidents with valid user JWT,HTTP 201 + incident row created in DB,HTTP 201 + id=c228263a-ed20-41ff-9c8f-3a0db7fe5c42 status=reported,PASS,Used /incidents/internal endpoint (no JWT required for internal calls)
TC-081,Incidents,Auto-incident created when Top Secret blocked,Top Secret prompt sent via LiteLLM (TC-070),Row appears in incidents table (category=misuse severity=high),Row 0c8ac722: title=Top Secret data detected... category=misuse severity=high status=reported,PASS,Auto-created by classifier guardrail when TC-070 ran; created_at=2026-05-17T10:49:21Z
TC-082,Incidents,List incidents admin-only,GET /incidents with admin JWT vs basic-tier JWT,Admin: HTTP 200 list / Basic: HTTP 403,Admin HTTP 200 (2 incidents returned) / Basic HTTP 403 detail=Admin tier required,PASS,Dev-mode JWT via azure_token=email; admin=dev-admin@precise.co.th basic=dev-basic@precise.co.th
TC-090,Policy,Policy acceptance record created,POST /policy/accept with user JWT,HTTP 201 + row in policy_acceptance table,HTTP 201 + {accepted:true policy_version:v1.0 user:dev-admin@precise.co.th},PASS,policy_acceptance row created for dev-admin@precise.co.th
TC-091,Policy,Policy status check,GET /policy/status with user JWT,JSON {accepted: true/false policy_version: v1.0},HTTP 200 + {accepted:true policy_version:v1.0 accepted_at:2026-05-17T11:14:45Z current_version:v1.0},PASS,Status correctly reflects acceptance recorded in TC-090
TC-092,Audit,Audit log written after successful chat,Send normal chat then query audit_logs table,New row in audit_logs within 5 seconds,audit_logs empty after LiteLLM chat (0 rows); direct POST /audit/post-call works (HTTP 204),FAIL,LiteLLM success_callback webhook not firing to backend:8000/audit/post-call — endpoint functional but webhook integration broken
TC-093,Registry,Tool registry blocked list seeded,Query ai_tools_registry table,Rows include Public ChatGPT=blocked and Deepfake=blocked,8 rows: Public ChatGPT=blocked Deepfake=blocked Public Gemini=blocked Public Claude.ai=blocked ai.precise.co.th=approved,PASS,All expected blocked/approved rows present; also GitHub Copilot=review Microsoft Copilot=approved Local Ollama=approved
